action	old_reference	source	new_reference	note
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_00c82f59-57b9-4276-b0ce-a2797545ba97_transformative_principal_book_study_logo_banner.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_00c82f59-57b9-4276-b0ce-a2797545ba97_transformative_principal_book_study_logo_banner.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_00c82f59-57b9-4276-b0ce-a2797545ba97_transformative_principal_book_study_logo_banner.png	optimized 128319->128319 resize_intermediate=128319
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1345046640108-H6X6M21HNTG1AZFLT0ID_file_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1345046640108-H6X6M21HNTG1AZFLT0ID_file_	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1345046640108-H6X6M21HNTG1AZFLT0ID_file.jpg	optimized 44649->42883 resize_intermediate=44649
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1347429186594-DXX5DN9CA7JNNAAJCPBY_00000097.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1347429186594-DXX5DN9CA7JNNAAJCPBY_00000097.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1347429186594-DXX5DN9CA7JNNAAJCPBY_00000097.png	optimized 123594->121050 resize_intermediate=123594
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1347429225174-J6WBDUM2FDL2SF9NVO00_school-bus-image.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1347429225174-J6WBDUM2FDL2SF9NVO00_school-bus-image.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1347429225174-J6WBDUM2FDL2SF9NVO00_school-bus-image.png	optimized 4558->4558 resize_intermediate=4558
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1348372483668-Y1C50UFI5BC2F3FEDU4W_keyword+up.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1348372483668-Y1C50UFI5BC2F3FEDU4W_keyword+up.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1348372483668-Y1C50UFI5BC2F3FEDU4W_keyword+up.png	optimized 94874->92330 resize_intermediate=94874
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1348372638315-0UMON75F0Q0N3CK3ZO7S_Keyword+down.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1348372638315-0UMON75F0Q0N3CK3ZO7S_Keyword+down.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1348372638315-0UMON75F0Q0N3CK3ZO7S_Keyword+down.png	optimized 94886->92342 resize_intermediate=94886
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1357802765103-IXM0MIVD2M9TOIMD5BMF_Paperless+Pricnipal+Cover.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1357802765103-IXM0MIVD2M9TOIMD5BMF_Paperless+Pricnipal+Cover.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1357802765103-IXM0MIVD2M9TOIMD5BMF_Paperless+Pricnipal+Cover.png	optimized 842081->842081 resize_intermediate=842081
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1357802869712-ST2UABXKFHXWCKGZ80KI_iBookstore_Badge.gif_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1357802869712-ST2UABXKFHXWCKGZ80KI_iBookstore_Badge.gif	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1357802869712-ST2UABXKFHXWCKGZ80KI_iBookstore_Badge.gif	unchanged-gif
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1378330212694-7KHHIRQ9ZKHVJLYQ6X4Y_Screen+Shot+2013-09-04+at+3.09.00+PM.png_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1378330212694-7KHHIRQ9ZKHVJLYQ6X4Y_Screen+Shot+2013-09-04+at+3.09.00+PM.png	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1378330212694-7KHHIRQ9ZKHVJLYQ6X4Y_Screen+Shot+2013-09-04+at+3.09.00+PM.png	optimized 62105->62105 resize_intermediate=62105
local_archive_image	/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1378330892417-GM0RFSXGN6L6IHFAKNL4_Hazel+rule_	/Users/jethrojones/jethro/to add to jethro site/squarespace_images/content_v1_4fffa949e4b0b4590d67b4e7_1378330892417-GM0RFSXGN6L6IHFAKNL4_Hazel+rule_	/assets/squarespace/content_v1_4fffa949e4b0b4590d67b4e7_1378330892417-GM0RFSXGN6L6IHFAKNL4_Hazel+rule.png	optimized 69882->69882 resize_intermediate=69882
